global_index,position_in_fov_y_pix,position_in_fov_x_pix,detection_radius,has_matched_histology_cell,fov_center_x,fov_center_y,fov_center_z,batch,antibodies,imaging_date,data_path,slide_replicate
30,547,1700,20.48,False,-45434.87254,37065.50716,40782.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
281,425,1469,12.8,False,-45181.99456,35767.32817,40782.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
307,757,1288,20.48,False,-45323.26084,33205.75378,40767.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
584,1082,1155,20.48,False,-44358.38946,38934.51253,40800.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
1451,1164,1428,20.48,False,-43158.29838,43044.89549,40794.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
1646,1608,1669,12.8,False,-42905.4204,41746.71649,40785.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
1762,1142,1918,20.48,False,-43117.31983,37904.35491,40776.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
2809,421,1538,20.48,False,-42058.49503,39453.16349,40776.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
2944,387,1121,12.8,False,-41434.79305,44879.11725,40794.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
3101,512,558,20.48,False,-41752.6422,39115.57488,40776.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
3350,983,423,20.48,False,-42300.04906,29189.47414,40746.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
3952,1529,581,12.8,False,-41299.8611,35558.62649,40764.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
4207,1207,1350,20.48,False,-41188.24941,31698.8731,40755.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
4290,1079,1587,20.48,False,-40676.15912,40984.58025,40785.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
4309,497,1231,20.48,False,-40605.52598,42265.36744,40785.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
4535,1120,633,20.48,False,-40123.09028,45129.74682,40788.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
4821,1237,614,20.48,False,-40635.18057,35844.03967,40764.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
4983,1759,1251,20.48,False,-40953.02972,30080.49731,40746.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
5015,594,483,20.48,False,-40988.34629,29440.10371,40746.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
6723,468,755,12.8,False,-38970.31208,42498.60521,40779.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
7303,1047,1471,20.48,False,-39476.7404,27431.96389,40737.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
9400,1233,1224,20.48,False,-38311.96589,30901.95325,40743.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
9476,1446,942,12.8,False,-38435.57389,28660.57566,40734.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
9523,1315,641,20.48,False,-38523.86532,27059.59167,40734.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
10755,934,953,20.48,False,-37570.99024,26687.21946,40734.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
11126,1732,1191,20.48,False,-35940.76597,50364.39071,40788.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
11209,621,425,20.48,False,-36082.03225,47802.81633,40788.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
11586,1280,1458,20.48,False,-36788.36369,34994.9444,40755.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
11992,1636,411,20.48,False,-36747.38514,29854.40382,40740.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
12125,319,1595,20.48,False,-36288.26971,38179.52058,40770.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
12742,1530,1325,20.48,False,-36282.60773,32398.5864,40755.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
12764,1476,774,20.48,False,-36335.58259,31437.99601,40740.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
12914,421,1749,20.48,False,-36600.45688,26635.04404,40728.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
15006,1106,642,12.8,False,-35200.46268,28486.6576,40734.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
15025,1642,911,20.48,False,-35235.77925,27846.264,40734.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
15202,609,655,20.48,False,-34859.29327,28789.46259,40734.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
15261,1746,1234,20.48,False,-34718.02698,31351.03698,40740.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
16130,1506,1564,20.48,False,-34624.07358,27171.08679,40734.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
16631,836,893,20.48,False,-32899.8959,46668.30787,40788.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
16641,624,1392,20.48,False,-32917.55418,46348.11107,40788.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
16733,781,1762,20.48,False,-33111.79533,42825.94629,40782.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
17101,1251,1303,12.8,False,-33818.12676,30018.07437,40743.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
17183,1291,1784,12.8,False,-33994.70962,26816.10638,40734.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
17240,287,1511,20.48,False,-33618.22364,27759.30497,40734.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
17316,1398,1167,20.48,False,-33476.95736,30320.87936,40743.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
17764,1525,1119,20.48,False,-32623.69766,39909.3915,40770.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
17778,1713,1605,20.48,False,-32641.35594,39589.1947,40770.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
18602,584,1240,20.48,False,-31853.06742,42115.98547,40776.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
20753,490,1037,12.8,False,-30694.62724,33703.90969,40764.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
20991,1319,590,20.48,False,-30000.29212,40410.65064,40776.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
21024,936,869,12.8,False,-30106.24183,38489.46985,40776.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
